head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,2,distinct,8,True,2,0.02542399987578392,0.02163200080394745,0.01875643036328256,0.988798991598465,1.0097383704442575
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,2,distinct,8,True,2,0.010912000201642513,0.006144000217318535,0.005978666013106704,0.9855491905644032,1.0071912605043336
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,8,distinct,8,True,8,0.07423999905586243,0.070592001080513,0.06293699494563043,1.0056349655699304,1.0028600612529213
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,8,distinct,8,True,8,0.025439999997615814,0.020927999168634415,0.018669915152713656,0.9894212738675857,1.0050808889274387
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,8,distinct,8,True,8,0.010975999757647514,0.0071680000983178616,0.005962279392406344,0.9913294975156178,1.0044307013557845
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,64,distinct,8,True,8,0.07419199869036674,0.04700800031423569,0.06276667467318475,1.0049847655899133,1.0001461185391796
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,64,distinct,8,True,8,0.02550400048494339,0.024480000138282776,0.01864532008767128,0.9919104029440688,1.0037568320351702
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,64,distinct,8,True,8,0.010879999957978725,0.006207999773323536,0.005940134869888425,0.9826589950312358,1.000700141813038
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,512,distinct,8,True,8,0.0751039981842041,0.07292799651622772,0.06359868915751576,1.0173384642866874,1.0134037279538066
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,512,distinct,8,True,8,0.025599999353289604,0.02271999977529049,0.018632094142958522,0.9956440241161545,1.0030448232145583
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,512,distinct,8,True,8,0.010784000158309937,0.008352000266313553,0.006158900214359164,0.9739884925468536,1.037554273247895
